Storage modulus,Loss modulus,Step time
0.460871,0.0251403,23.243
0.460371,0.0254211,23.293
0.460142,0.0253721,23.343
0.460205,0.0253613,23.393
0.459999,0.0253828,23.442
0.459891,0.0256865,23.492
0.45965,0.0259764,23.542
0.45927,0.0258096,23.592
0.459125,0.0253377,23.642
0.458734,0.0254493,23.692
0.45819,0.0258589,23.742
0.457358,0.0262162,23.792
0.457176,0.0261456,23.842
0.457248,0.0258298,23.892
0.457109,0.0260194,23.942
0.457036,0.0261178,23.992
0.456729,0.0260508,24.042
0.456656,0.0260356,24.092
0.456547,0.0260197,24.142
0.45622,0.0262552,24.192
0.455912,0.0262743,24.242
0.455789,0.0262951,24.292
0.455517,0.0264215,24.342
0.455157,0.0266589,24.392
0.45492,0.0266354,24.442
0.455038,0.0266529,24.492
0.455363,0.0264074,24.542
0.455213,0.0262667,24.592
0.455067,0.0261751,24.642
0.455096,0.0260101,24.692
0.455198,0.026261,24.742
0.455241,0.0260963,24.792
0.455199,0.0260315,24.842
0.455144,0.0258856,24.892
0.455137,0.0258334,24.942
0.455096,0.0258361,24.992
0.455069,0.0259411,25.042
0.454897,0.0260278,25.092
0.454775,0.0260369,25.142
0.454781,0.0260071,25.192
0.454641,0.0260737,25.242
0.454432,0.0258622,25.292
0.454202,0.0260332,25.342
0.453899,0.0261263,25.392
0.453628,0.0264502,25.442
0.453366,0.0264719,25.492
0.453218,0.0263211,25.542
0.453285,0.026119,25.592
0.45319,0.0260044,25.642
0.453121,0.0260326,25.692
0.452737,0.0263788,25.742
0.451978,0.0270652,25.792
0.451536,0.0271628,25.842
0.451378,0.0270846,25.892
0.451244,0.026788,25.942
0.451125,0.0266481,25.992
0.451078,0.0264053,26.042
0.450977,0.0263174,26.092
0.450714,0.0264744,26.142
0.450478,0.0266183,26.192
0.450289,0.0263215,26.242
0.450153,0.0264759,26.292
0.450008,0.0266245,26.342
0.449876,0.0265021,26.392
0.449791,0.0265341,26.442
0.449633,0.0264779,26.492
0.449354,0.0264558,26.542
0.448854,0.0266409,26.591
0.448427,0.026856,26.641
0.448367,0.0265415,26.691
0.448235,0.026406,26.741
0.448045,0.0263768,26.791
0.447861,0.0264169,26.841
0.4477,0.0264514,26.891
0.447532,0.026584,26.941
0.447588,0.0263119,26.991
